Shop Name,Contact,Address,State,City,GST
Neel Devid Salon (Jodhpur),916394696597,Mahim,Rajasthan,Jodhpur,
J S Salon (New Delhi),916394376035,Una road Amb,Delhi,New Delhi,
Bq Makeover (Ferozepore),916393747141,Hasli pul,Punjab,Ferozepore,
Kavita Makeuttar Pradesh Studio And Unisex Salon (Zira),916393047345,Shop No. 9 main market model town karnal,Punjab,Zira,
Neelam Beauty Parlour (Raipur),916393017923,"Sector.26, Noida (Uttar Pradesh)",Chhattisgarh,Raipur,
Fazee Herbal Beauty Salon (Bangalore),916392033498,AS inter College,Karnataka,Bangalore,
B Blound Unisex Salon (Kanpur),916388989934,Rani.ka bagh,Uttar Pradesh,Kanpur,
La Famme Salon (Chandigarh),916388830575,Dainik chouraha,Punjab,Chandigarh,
Million Hair Salon Bathinda (Roorkee),916388533138,Karamana,Uttarakhand,Roorkee,
Midas Touch Family Salon (Varanasi),916388533138,"Mavadi Main Road, Rajkot",Uttar Pradesh,Varanasi,
Daimond Art Studio (Amritsar),916386585390,"Malugram, silchar",Punjab,Amritsar,
She Beauty Salon (Zira),916380610598,M - block vikaspuri,Punjab,Zira,
Soundarya Beauty Parlour (Amritsar),916380206563,Dera road near pandit mohal lal college,Punjab,Amritsar,
Msv Profetional Salon (Noida),916366723200,Hoodi,Uttar Pradesh,Noida,
Daniel Beauty Hub (Raipur),916363463050,Bohri chonk,Chhattisgarh,Raipur,
Genius Unisex Salon (Noida),916363427499,Ashiyana bangla bazar,Uttar Pradesh,Noida,
Evol (Nagpur),916361880502,M I Russell cort,Maharashtra,Nagpur,
Indian Beauty (Amritsar),916361874828,"93/1B, Rash Behari Avenue, Deshapriya Park Rd, Kolkata, West Bengal 700029",Punjab,Amritsar,
Glamours Salon (Gorakhpur),916360664462,Deshbandhu para,Uttar Pradesh,Gorakhpur,
Blushing Ton Salon (Noida),916360517043,Jyoti nagar road,Uttar Pradesh,Noida,
Iba Salon (Noida),916355809023,"895, Sector 21C, Faridabad",Uttar Pradesh,Noida,
Bonita Family Salon (Nihal Singhwala),916350023112,"Near Civil hospital, Moga",Punjab,Nihal Singhwala,
Absolute (Nagpur),916321342143,sibtala chandan nagar,Maharashtra,Nagpur,
Imadhya Pradeshression Salon (Noida),916306347372,Vandiyur main road. Anna Nagar Madurai,Uttar Pradesh,Noida,
Pallavi Beauty Parlour (Mysore),916299566716,Koradi,Karnataka,Mysore,
Lerofiy Unisex Salon (FARIDKOT),916290917081,"Shop no 3, Chauhan Market, Shahdara, Sector 141, Noida, Uttar Pradesh 201305",Punjab,FARIDKOT,
Modern Salon Zira (Kota),916284545576,Vaishali nagar,Rajasthan,Kota,
Bellissiimo Family Salon (Jodhpur),916284466150,Ratan singh chonk,Rajasthan,Jodhpur,
Fashion Loooks  Salon (Nihal Singh Wala) (Bhilai),916283989422,"93k,NH -28, Daudpur gorakhpur",Chhattisgarh,Bhilai,
N Diva (Kanpur),916283082747,"Govindpur road ,Balaji  petrol puMadhya Pradesh baliapur",Uttar Pradesh,Kanpur,
Natural Beauty Salon (MeerUT),916283072883,RTO road,Uttar Pradesh,MeerUT,
Gc Makeovers (Noida),916280424976,Gopal mandir road majitha road,Uttar Pradesh,Noida,
Graduate Salon (Panchkula),916280352633,"Geet marriage hall,10 no. Boring Gorakhnath",Haryana,Panchkula,
Classic Herbal (Firozepur),916280210955,Malkajgiri,Punjab,Firozepur,
Beard &Bang Salon (Moradabad),916280191246,Kumar Swamy layoUT,Uttar Pradesh,Moradabad,
Dream Look Unisex Salon (Noida),916280078783,Madore Jodhpur,Uttar Pradesh,Noida,
Azeem Salmani Salon (Moga) (Siligur),916266864875,Ambhalla,West Bengal,Siligur,
Hair Loom (Gorakhpur),916265213940,"Sec 21C, Huda Market, Faridabad",Uttar Pradesh,Gorakhpur,
M3P Unisex Salon (Amritsar),916264576031,Ajnala road opp icici bank,Punjab,Amritsar,
Inara (Amritsar),916264506115,"Near bus stand, Faridkot",Punjab,Amritsar,
Mistique World (Nagpur),916263418959,Jafferkhanpet,Maharashtra,Nagpur,
Karuna Beauty Parlour (Mohali),916262686810,"Near mittal hotel, moga",Punjab,Mohali,
Casa Belleza (Mysore),916260579007,Opp canara bank,Karnataka,Mysore,
Aaksha Makeuttar Pradesh Studio (Noida),916260345772,"City mall sevoke road 
Siliguri ",Uttar Pradesh,Noida,
( Matrix Salon) Heaven Beauty Salon (Nihal Singh Wala) (Varanasi),916239665959,Main bazar,Uttar Pradesh,Varanasi,
Master Scissors Sellon (Nagpur),916238800738,Ashok vihar,Maharashtra,Nagpur,
Beautista Salon (Kharar),916235847738,Hingna,Punjab,Kharar,
Make By Leena (Amritsar),916206357389,"ChitrakUT dham, Rajkot",Punjab,Amritsar,
Glow Studio Unisex Salon (Bangalore),916206110329,Malhor,Karnataka,Bangalore,
Glam (Chandigarh),916202702205,D D Punam Bareilly,UT,Chandigarh,
Posh Salon (Kota),916202536810,line par,Rajasthan,Kota,
Jenny Salon (Hyderabad),916200419223,Near Redtape store,telangana,Hyderabad,
Nikhar Beauty Saloon (Ludhiana),916006106843,Varanda road civilian near patanjali store,Punjab,Ludhiana,
Unique Look Salon Firozpur (Bangalore),916005839054,Byculla,Karnataka,Bangalore,
Gonda Makeover (Bakhtawarpur),916003656583,Navapara,Delhi,Bakhtawarpur,
Meri Beauty Parlour (Gonda),916001182505,Kashipur road,Uttar Pradesh,Gonda,
Hsm Unisex Salon (Achhnera),916000249503,"Near bus stand, 
 moga",Uttar Pradesh,Achhnera,
